,Description
1462,a court style refashioned with a streamlined design that doesn t sacrifice stability  these women s tennis inspired shoes introduce elevated comfort to your feet with a cloudfoam sockliner  the smooth leather upper is punctuated with perforated 3 stripes 
1463,a reward for hard working feet  after your gym session  slip on these shower ready slides and prepare for the rest of your day  the ultra soft footbed pairs with plush cushioning for unparalleled comfort 
1464,true to  80s workout designs  these men s shoes offer a simple low profile and a classic rubber cupsole  screenprinted logos on the tongue and heel add a modern note to the clean lines  the leather upper gives these shoes a soft  smooth feel 
1465,lace  em up  lace  em down  the mid cut adidas drop step shoes boast pure  80s basketball dna and funky fresh streetwise style  don t blink  the padded leather upper flashes brilliant metallic accents 
1466,lace  em up  lace  em down  the mid cut adidas drop step shoes boast pure  80s basketball dna and funky fresh streetwise style  don t blink  the padded leather upper flashes brilliant metallic accents 
1467,the adidas originals kiel unisex shoes offer perfect functionality along with style  seamless textile upper provides you comfort whereas the vulcanized rubber outsole gives optimum traction  they come in a sleek design with stitched 3 stripes on the sides 
1468,lace  em up  lace  em down  the mid cut adidas drop step shoes boast pure  80s basketball dna and funky fresh streetwise style  don t blink  the padded leather upper flashes brilliant metallic accents 
1469,the ultra lightweight build of these shoes takes a running inspired style to the streets  a breathable mesh upper gives you lasting comfort and a soft midsole cushions each step  seamless 3 stripes flash your adidas pride 
1470,effortless and cool  just like you  a culmination of a 40 year court archive  the adidas supercourt shoes give your sweats an instant upgrade and put heritage style in every step  what s new  the faux nubuck upper and fleece lining keep your feet warmer than ever before 
1471,designed for the ever changing urban landscape  these running shoes have a lightweight knit upper that follows the natural movement of your stride  the wide platform provides support for lateral movement  and responsive cushioning returns energy with every step 
1472,these women s race ready shoes deliver maximum comfort from the starting gun to the finish line  ideal for long distance training  they feature responsive boost cushioning for the highest level of energy return  a stability rail helps guide your stride  and the engineered mesh upper locks down your heel and midfoot for a secure fit  the rubber stretchweb outsole is inspired by adidas  fastest running shoe for a smooth  flexible ride 
1473,designed for the ever changing urban landscape  these running shoes have a lightweight knit upper that follows the natural movement of your stride  the wide platform provides support for lateral movement  and responsive cushioning returns energy with every step 
